,accession,duf_number
351,PF07166,DUF1398
352,PF07182,DUF1402
353,PF07183,DUF1403
354,PF07185,DUF1404
355,PF07187,DUF1405
356,PF07193,DUF1408
357,PF07198,DUF1410
358,PF07199,DUF1411
359,PF07203,DUF1412
360,PF07209,DUF1415
361,PF07215,DUF1419
362,PF07226,DUF1422
363,PF07232,DUF1424
364,PF07235,DUF1427
365,PF07237,DUF1428
366,PF07252,DUF1433
367,PF07256,DUF1435
368,PF07270,DUF1438
369,PF07274,DUF1440
370,PF07279,DUF1442
371,PF07293,DUF1450
372,PF07305,DUF1454
373,PF07306,DUF1455
374,PF07310,DUF1457
375,PF07312,DUF1459
376,PF07316,DUF1463
377,PF07318,DUF1464
378,PF07330,DUF1467
379,PF07331,DUF1468
380,PF07341,DUF1473
381,PF07343,DUF1475
382,PF07351,DUF1480
383,PF07358,DUF1482
384,PF07363,DUF1484
385,PF07368,DUF1487
386,PF07369,DUF1488
387,PF07371,DUF1490
388,PF07372,DUF1491
389,PF07379,DUF1494
390,PF07383,DUF1496
391,PF07384,DUF1497
392,PF07403,DUF1505
393,PF07423,DUF1510
394,PF07438,DUF1514
395,PF07469,DUF1518
396,PF05949,DUF881
397,PF05960,DUF885
398,PF05974,DUF892
399,PF05987,DUF898
400,PF05988,DUF899
401,PF05990,DUF900
402,PF06012,DUF908
403,PF06025,DUF913
404,PF06028,DUF915
405,PF06037,DUF922
406,PF06041,DUF924
407,PF06051,DUF928
408,PF06080,DUF938
409,PF06092,DUF943
410,PF06097,DUF945
411,PF06115,DUF956
412,PF06121,DUF959
413,PF06125,DUF961
414,PF06147,DUF968
415,PF06149,DUF969
416,PF06161,DUF975
417,PF06163,DUF977
418,PF06169,DUF982
419,PF06185,DUF991
420,PF06195,DUF996
421,PF06196,DUF997
422,PF06210,DUF1003
423,PF06219,DUF1005
424,PF06226,DUF1007
425,PF06231,DUF1010
426,PF06259,DUF1023
427,PF06267,DUF1028
428,PF06279,DUF1033
429,PF06342,DUF1057
430,PF06347,DUF1058
431,PF06364,DUF1068
432,PF06435,DUF1079
433,PF06469,DUF1088
434,PF06477,DUF1091
435,PF06533,DUF1110
436,PF06547,DUF1117
437,PF06551,DUF1120
438,PF06576,DUF1133
439,PF06587,DUF1137
440,PF06626,DUF1152
441,PF06643,DUF1158
442,PF06649,DUF1161
443,PF06681,DUF1182
444,PF06685,DUF1186
445,PF06697,DUF1191
446,PF06707,DUF1194
447,PF06708,DUF1195
448,PF06742,DUF1214
449,PF06748,DUF1217
450,PF06760,DUF1221
451,PF06764,DUF1223
452,PF06803,DUF1232
453,PF06836,DUF1240
454,PF06863,DUF1254
455,PF06880,DUF1262
456,PF06882,DUF1263
457,PF06906,DUF1272
458,PF06912,DUF1275
459,PF06945,DUF1289
460,PF06961,DUF1294
461,PF06975,DUF1299
462,PF06980,DUF1302
463,PF07000,DUF1308
464,PF07006,DUF1310
465,PF07013,DUF1314
466,PF07044,DUF1329
467,PF07045,DUF1330
468,PF07079,DUF1347
469,PF07082,DUF1350
470,PF07097,DUF1359
471,PF07103,DUF1365
472,PF07112,DUF1368
473,PF07116,DUF1372
474,PF07119,DUF1375
475,PF07120,DUF1376
476,PF07136,DUF1385
477,PF07142,DUF1388
478,PF07146,DUF1389
479,PF07176,DUF1400
480,PF07197,DUF1409
481,PF07205,DUF1413
482,PF07210,DUF1416
483,PF07214,DUF1418
484,PF07220,DUF1420
485,PF07223,DUF1421
486,PF07233,DUF1425
487,PF07273,DUF1439
488,PF07285,DUF1444
489,PF07323,DUF1465
490,PF07356,DUF1481
491,PF07374,DUF1492
492,PF07377,DUF1493
493,PF07386,DUF1499
494,PF07394,DUF1501
495,PF07397,DUF1502
496,PF07405,DUF1506
497,PF07411,DUF1508
498,PF07439,DUF1515
499,PF07466,DUF1517
500,PF06572,DUF1131
501,PF07481,DUF1521
502,PF07482,DUF1522
503,PF07505,DUF5131
504,PF07560,DUF1539
505,PF07561,DUF1540
506,PF07563,DUF1541
507,PF07564,DUF1542
508,PF07566,DUF1543
509,PF07577,DUF1547
510,PF07583,DUF1549
511,PF07586,DUF1552
512,PF07588,DUF1554
513,PF07596,DUF1559
514,PF07598,DUF1561
515,PF07599,DUF1563
516,PF07600,DUF1564
517,PF07602,DUF1565
518,PF07606,DUF1569
519,PF07607,DUF1570
520,PF07608,DUF1571
521,PF07609,DUF1572
522,PF07610,DUF1573
523,PF07611,DUF1574
524,PF07613,DUF1576
525,PF07614,DUF1577
526,PF07617,DUF1579
527,PF07618,DUF1580
528,PF07622,DUF1583
529,PF07621,DUF1582
530,PF07624,DUF1585
531,PF07628,DUF1589
532,PF07643,DUF1598
533,PF07667,DUF1600
534,PF07671,DUF1601
535,PF07756,DUF1612
536,PF07758,DUF1614
537,PF07759,DUF1615
538,PF07760,DUF1616
539,PF07761,DUF1617
540,PF07762,DUF1618
541,PF09343,DUF2460
542,PF07784,DUF1622
543,PF07789,DUF1627
544,PF07793,DUF1631
545,PF07794,DUF1633
546,PF07796,DUF1638
547,PF07797,DUF1639
