,accession,duf_number
2086,PF15248,DUF4587
2087,PF15131,DUF4567
2088,PF15480,DUF4640
2089,PF14590,DUF4447
2090,PF15377,DUF4604
2091,PF14747,DUF4473
2092,PF14644,DUF4456
2093,PF14618,DUF4452
2094,PF15132,DUF4568
2095,PF14627,DUF4453
2096,PF15382,DUF4609
2097,PF15283,DUF4595
2098,PF15379,DUF4606
2099,PF14494,DUF4436
2100,PF15144,DUF4576
2101,PF15451,DUF4632
2102,PF15378,DUF4605
2103,PF15468,DUF4636
2104,PF15465,DUF4634
2105,PF15552,DUF4657
2106,PF15425,DUF4627
2107,PF15012,DUF4519
2108,PF14539,DUF4442
2109,PF15389,DUF4612
2110,PF14879,DUF4489
2111,PF14737,DUF4470
2112,PF15414,DUF4621
2113,PF15486,DUF4644
2114,PF14584,DUF4446
2115,PF14688,DUF4461
2116,PF15464,DUF4633
2117,PF14869,DUF4488
2118,PF14906,DUF4495
2119,PF15485,DUF4643
2120,PF14673,DUF4459
2121,PF14536,DUF4441
2122,PF14771,DUF4476
2123,PF14499,DUF4437
2124,PF15496,DUF4646
2125,PF14969,DUF4508
2126,PF15372,DUF4600
2127,PF14950,DUF4502
2128,PF14614,DUF4450
2129,PF15262,DUF4592
2130,PF14687,DUF4460
2131,PF14951,DUF4503
2132,PF14692,DUF4462
2133,PF15479,DUF4639
2134,PF14563,DUF4444
2135,PF14800,DUF4481
2136,PF14725,DUF4466
2137,PF14729,DUF4467
2138,PF14628,DUF4454
2139,PF14643,DUF4455
2140,PF15145,DUF4577
2141,PF15394,DUF4616
2142,PF15525,DUF4652
2143,PF15090,DUF4553
2144,PF15513,DUF4651
2145,PF15147,DUF4578
2146,PF14956,DUF4505
2147,PF15417,DUF4624
2148,PF15555,DUF4658
2149,PF14831,DUF4484
2150,PF15578,DUF4662
2151,PF11611,DUF4352
2152,PF15576,DUF4661
2153,PF15559,DUF4660
2154,PF15558,DUF4659
2155,PF15504,DUF4647
2156,PF15472,DUF4638
2157,PF15470,DUF4637
2158,PF15039,DUF4530
2159,PF15046,DUF4532
2160,PF15397,DUF4618
2161,PF15031,DUF4528
2162,PF15393,DUF4615
2163,PF15380,DUF4607
2164,PF14751,DUF4474
2165,PF14739,DUF4472
2166,PF15266,DUF4594
2167,PF14544,DUF4443
2168,PF15143,DUF4575
2169,PF15082,DUF4549
2170,PF15509,DUF4650
2171,PF14986,DUF4514
2172,PF14505,DUF4438
2173,PF14530,DUF4439
2174,PF14100,DUF6807
2175,PF14491,DUF4435
2176,PF13708,DUF4942
2177,PF17118,DUF5105
2178,PF17117,DUF5104
2179,PF17115,DUF2154
2180,PF15668,DUF4663
2181,PF15697,DUF4666
2182,PF15700,DUF4667
2183,PF15701,DUF4668
2184,PF15709,DUF4670
2185,PF15716,DUF4672
2186,PF15726,DUF4677
2187,PF15727,DUF4678
2188,PF15728,DUF4679
2189,PF15730,DUF4680
2190,PF15732,DUF4681
2191,PF15736,DUF4684
2192,PF15742,DUF4686
2193,PF15747,DUF4687
2194,PF17031,DUF5101
2195,PF17029,DUF5100
2196,PF15752,DUF4688
2197,PF15755,DUF4689
2198,PF17025,DUF5099
2199,PF17023,DUF5098
2200,PF17020,DUF5097
2201,PF17019,DUF5096
2202,PF17016,DUF5095
2203,PF15762,DUF4691
2204,PF15764,DUF4693
2205,PF17015,DUF5094
2206,PF15765,DUF4694
2207,PF15766,DUF4695
2208,PF15769,DUF4698
2209,PF17012,DUF5091
2210,PF15774,DUF4702
2211,PF17011,DUF5093
2212,PF17010,DUF5092
2213,PF17009,DUF5090
2214,PF17008,DUF5088
2215,PF17006,DUF5087
2216,PF17002,DUF5089
2217,PF16985,DUF5086
2218,PF15787,DUF4704
2219,PF15788,DUF4705
2220,PF15797,DUF4706
2221,PF15813,DUF4708
2222,PF15821,DUF4709
2223,PF16895,DUF5085
2224,PF16894,DUF5084
2225,PF15829,DUF4711
2226,PF15830,DUF4712
2227,PF15833,DUF4714
2228,PF16890,DUF5083
2229,PF15835,DUF4715
2230,PF16883,DUF5080
2231,PF16882,DUF5079
2232,PF15842,DUF4718
2233,PF15843,DUF4719
2234,PF15846,DUF4720
2235,PF16877,DUF5078
2236,PF15849,DUF4722
2237,PF15851,DUF4723
2238,PF15852,DUF4724
2239,PF16871,DUF5077
2240,PF15855,DUF4726
2241,PF15856,DUF4727
2242,PF15860,DUF4728
2243,PF15866,DUF4729
2244,PF15873,DUF4730
2245,PF15876,DUF4732
2246,PF15881,DUF4734
2247,PF15882,DUF4735
2248,PF15883,DUF4736
2249,PF15889,DUF4738
2250,PF15893,DUF4739
2251,PF15897,DUF4741
2252,PF16826,DUF5076
2253,PF15916,DUF4743
2254,PF15918,DUF4744
2255,PF15923,DUF4745
2256,PF16819,DUF5074
2257,PF16817,DUF5073
2258,PF15928,DUF4746
2259,PF15931,DUF4747
2260,PF15932,DUF4748
2261,PF16804,DUF5071
2262,PF16802,DUF5070
2263,PF16798,DUF5069
2264,PF15938,DUF4750
2265,PF15942,DUF4751
2266,PF15944,DUF4752
2267,PF15946,DUF4754
2268,PF15947,DUF4755
2269,PF15948,DUF4756
2270,PF15949,DUF4757
2271,PF15950,DUF4758
2272,PF15956,DUF4760
2273,PF15958,DUF4761
2274,PF15959,DUF4762
2275,PF15960,DUF4763
2276,PF15961,DUF4764
2277,PF15962,DUF4765
2278,PF16781,DUF5068
2279,PF15973,DUF4766
2280,PF15983,DUF4767
2281,PF15989,DUF4768
2282,PF15992,DUF4769
2283,PF15994,DUF4770
2284,PF15995,DUF4771
2285,PF15998,DUF4773
2286,PF15999,DUF4774
2287,PF16001,DUF4775
2288,PF16003,DUF4776
2289,PF16007,DUF4777
2290,PF16008,DUF4778
2291,PF16009,DUF4779
2292,PF16012,DUF4780
2293,PF16013,DUF4781
2294,PF16022,DUF4783
2295,PF16023,DUF4784
2296,PF16024,DUF4785
2297,PF16027,DUF4786
2298,PF16029,DUF4787
2299,PF16729,DUF5067
2300,PF16728,DUF5066
2301,PF16032,DUF4788
2302,PF16033,DUF4789
2303,PF16723,DUF5065
2304,PF16037,DUF4790
2305,PF16039,DUF4791
2306,PF16042,DUF4794
2307,PF16043,DUF4795
2308,PF16703,DUF5064
2309,PF16702,DUF5063
2310,PF16691,DUF5062
2311,PF16051,DUF4797
2312,PF16055,DUF4798
2313,PF16056,DUF4799
2314,PF16060,DUF4802
2315,PF16061,DUF4803
2316,PF16063,DUF4805
2317,PF16064,DUF4806
2318,PF16065,DUF4807
2319,PF16067,DUF4809
2320,PF16069,DUF4811
2321,PF16071,DUF4812
2322,PF16072,DUF4813
2323,PF16075,DUF4815
2324,PF16479,DUF5056
2325,PF16086,DUF4816
2326,PF16087,DUF4817
2327,PF16089,DUF4818
2328,PF16378,DUF4988
2329,PF16091,DUF4820
2330,PF16379,DUF4989
2331,PF16383,DUF4992
2332,PF16386,DUF4995
2333,PF16387,DUF4996
2334,PF16390,DUF4999
2335,PF16391,DUF5000
2336,PF16394,DUF5003
2337,PF16395,DUF5004
2338,PF16396,DUF5005
2339,PF16397,DUF5006
2340,PF16398,DUF5007
2341,PF16400,DUF5008
2342,PF16401,DUF5009
2343,PF16402,DUF5010
2344,PF16405,DUF5013
2345,PF16406,DUF5014
2346,PF16408,DUF5016
2347,PF16409,DUF5017
2348,PF16410,DUF5018
2349,PF16425,DUF5022
2350,PF16426,DUF5023
2351,PF16427,DUF5024
2352,PF16428,DUF5025
2353,PF16429,DUF5026
2354,PF16430,DUF5027
2355,PF16431,DUF5028
2356,PF16432,DUF5029
2357,PF16433,DUF5030
2358,PF16434,DUF5031
2359,PF16435,DUF5032
2360,PF16436,DUF5033
2361,PF16437,DUF5034
2362,PF16438,DUF5035
2363,PF16439,DUF5036
2364,PF16440,DUF5037
2365,PF16441,DUF5038
2366,PF16442,DUF5039
2367,PF16443,DUF5040
2368,PF16444,DUF5041
2369,PF16445,DUF5042
2370,PF16446,DUF5043
2371,PF16447,DUF5044
2372,PF16103,DUF4822
2373,PF16105,DUF4823
2374,PF16106,DUF4824
2375,PF16107,DUF4825
2376,PF16108,DUF4826
2377,PF16109,DUF4827
2378,PF16110,DUF4828
2379,PF16111,DUF4829
2380,PF16112,DUF4830
2381,PF16586,DUF5060
2382,PF16115,DUF4831
2383,PF16116,DUF4832
2384,PF16117,DUF4833
2385,PF16377,DUF4987
2386,PF16118,DUF4834
2387,PF16119,DUF4835
2388,PF16375,DUF4986
2389,PF16120,DUF4836
2390,PF16373,DUF4985
2391,PF16372,DUF4984
2392,PF16125,DUF4837
2393,PF16126,DUF4838
2394,PF16127,DUF4839
2395,PF16128,DUF4840
2396,PF16129,DUF4841
2397,PF16130,DUF4842
2398,PF16132,DUF4843
2399,PF16133,DUF4844
2400,PF16356,DUF4983
2401,PF16355,DUF4982
2402,PF16352,DUF4980
2403,PF16137,DUF4845
2404,PF16138,DUF4846
2405,PF16139,DUF4847
2406,PF16140,DUF4848
2407,PF16142,DUF4850
2408,PF16143,DUF4851
2409,PF16144,DUF4852
2410,PF16145,DUF4853
2411,PF16146,DUF4854
2412,PF16147,DUF4855
2413,PF16148,DUF4856
2414,PF16149,DUF4857
2415,PF16150,DUF4858
2416,PF16151,DUF4859
2417,PF16152,DUF4860
2418,PF16153,DUF4861
2419,PF16154,DUF4862
2420,PF16156,DUF4864
2421,PF16157,DUF4865
2422,PF16160,DUF4866
2423,PF16161,DUF4867
2424,PF16163,DUF4869
2425,PF16167,DUF4871
2426,PF16169,DUF4872
2427,PF16170,DUF4873
2428,PF16173,DUF4874
2429,PF16175,DUF4875
2430,PF16502,DUF5059
2431,PF16481,DUF5058
2432,PF16480,DUF5057
2433,PF16478,DUF5055
2434,PF16477,DUF5054
2435,PF16476,DUF5053
2436,PF16475,DUF5052
2437,PF16468,DUF5049
2438,PF16467,DUF5048
2439,PF16466,DUF5047
2440,PF16465,DUF5046
2441,PF16464,DUF5045
2442,PF16351,DUF4979
2443,PF16349,DUF4978
2444,PF16343,DUF4973
2445,PF16342,DUF4972
2446,PF16341,DUF4971
2447,PF16339,DUF4969
2448,PF16334,DUF4964
2449,PF16328,DUF4961
2450,PF16323,DUF4959
2451,PF16318,DUF4957
2452,PF16316,DUF4956
2453,PF16315,DUF4955
2454,PF16314,DUF4954
2455,PF16310,DUF4952
2456,PF16309,DUF4951
2457,PF16308,DUF4950
2458,PF16307,DUF4949
2459,PF16306,DUF4948
2460,PF16305,DUF4947
2461,PF16304,DUF4946
2462,PF16303,DUF4945
2463,PF16302,DUF4944
2464,PF16301,DUF4943
2465,PF16299,DUF4941
2466,PF16298,DUF4940
2467,PF16292,DUF4938
2468,PF16291,DUF4937
2469,PF16290,DUF4936
2470,PF16289,DUF4935
2471,PF16288,DUF4934
2472,PF16287,DUF4933
2473,PF16286,DUF4932
2474,PF16284,DUF4930
2475,PF16283,DUF4929
2476,PF16280,DUF4928
2477,PF16279,DUF4927
2478,PF16277,DUF4926
2479,PF16272,DUF4925
2480,PF16271,DUF4924
2481,PF16270,DUF4923
2482,PF16268,DUF4921
2483,PF16267,DUF4920
2484,PF16266,DUF4919
2485,PF16263,DUF4917
2486,PF16262,DUF4916
2487,PF16260,DUF4914
2488,PF16259,DUF4913
2489,PF16258,DUF4912
2490,PF16256,DUF4911
2491,PF16254,DUF4910
2492,PF16253,DUF4909
2493,PF16252,DUF4908
2494,PF16250,DUF4907
2495,PF16249,DUF4906
2496,PF16248,DUF4905
2497,PF16247,DUF4904
2498,PF16246,DUF4903
2499,PF16241,DUF4900
2500,PF16240,DUF4899
2501,PF16239,DUF4898
2502,PF16238,DUF4897
2503,PF16237,DUF4896
2504,PF16236,DUF4895
2505,PF16235,DUF4894
2506,PF16234,DUF4892
2507,PF16233,DUF4893
2508,PF09940,DUF2172
2509,PF16232,DUF4891
2510,PF16231,DUF4890
2511,PF16230,DUF4889
2512,PF16229,DUF4888
2513,PF16228,DUF4887
2514,PF16227,DUF4886
2515,PF16226,DUF4885
2516,PF16225,DUF4884
2517,PF16224,DUF4883
2518,PF16223,DUF4882
2519,PF16222,DUF4881
2520,PF16219,DUF4879
2521,PF16215,DUF4876
2522,PF15737,DUF4685
2523,PF15735,DUF4683
2524,PF15057,DUF4537
2525,PF15030,DUF4527
2526,PF14988,DUF4515
2527,PF14383,DUF3741
2528,PF17127,DUF5106
2529,PF17128,DUF5107
2530,PF17133,DUF5108
2531,PF17137,DUF5110
2532,PF17138,DUF5111
2533,PF17139,DUF5112
2534,PF17140,DUF5113
2535,PF17141,DUF5114
2536,PF17145,DUF5119
2537,PF17148,DUF5117
2538,PF17160,DUF5124
2539,PF17161,DUF5123
2540,PF17162,DUF5118
2541,PF17163,DUF5125
2542,PF17165,DUF5121
2543,PF17166,DUF5126
2544,PF17173,DUF5129
2545,PF17174,DUF5130
2546,PF17195,DUF5132
2547,PF17196,DUF5133
2548,PF17197,DUF5134
2549,PF17220,DUF5137
2550,PF17224,DUF5300
2551,PF17225,DUF5301
2552,PF17637,DUF5516
2553,PF17633,DUF5514
2554,PF17629,DUF5510
2555,PF17625,DUF5509
2556,PF17606,DUF5502
2557,PF17605,DUF5501
2558,PF17603,DUF5499
2559,PF17602,DUF5498
2560,PF17600,DUF5496
2561,PF17588,DUF5486
2562,PF17586,DUF5485
2563,PF17583,DUF5484
2564,PF17581,DUF5483
2565,PF17579,DUF5482
2566,PF17578,DUF5481
2567,PF17576,DUF5480
2568,PF17575,DUF5479
2569,PF17567,DUF5473
2570,PF17566,DUF5472
2571,PF17371,DUF5393
2572,PF17565,DUF5471
2573,PF17373,DUF5395
2574,PF17374,DUF5396
2575,PF17268,DUF5334
2576,PF17266,DUF5332
2577,PF17564,DUF5470
2578,PF17252,DUF5319
2579,PF17247,DUF5316
2580,PF17248,DUF5317
2581,PF17249,DUF5318
2582,PF17227,DUF5302
2583,PF17554,DUF5466
2584,PF17241,DUF5314
2585,PF17552,DUF5464
2586,PF17551,DUF5463
2587,PF17230,DUF5304
2588,PF17231,DUF5305
2589,PF17233,DUF5308
2590,PF17545,DUF5461
2591,PF17239,DUF5312
2592,PF17240,DUF5313
2593,PF17253,DUF5320
2594,PF17540,DUF5457
2595,PF17537,DUF5455
2596,PF17259,DUF5325
2597,PF17254,DUF5321
2598,PF17258,DUF5324
2599,PF17535,DUF5454
2600,PF17534,DUF5453
2601,PF17261,DUF5327
2602,PF17533,DUF5452
2603,PF17264,DUF5330
2604,PF17532,DUF5451
2605,PF17269,DUF5335
2606,PF17273,DUF5338
2607,PF17529,DUF5450
2608,PF17275,DUF5340
2609,PF17281,DUF5346
2610,PF17282,DUF5347
2611,PF17518,DUF5443
2612,PF17278,DUF5343
2613,PF17276,DUF5341
2614,PF17280,DUF5345
2615,PF17514,DUF5442
2616,PF17263,DUF5329
2617,PF17513,DUF5441
2618,PF17295,DUF5348
2619,PF17298,DUF5349
2620,PF17299,DUF5350
2621,PF17505,DUF5437
2622,PF17503,DUF5435
2623,PF17502,DUF5434
2624,PF17498,DUF5433
2625,PF17497,DUF5432
2626,PF17302,DUF5351
2627,PF17496,DUF5431
2628,PF17303,DUF5352
2629,PF17306,DUF5355
2630,PF17311,DUF5358
2631,PF17313,DUF5359
2632,PF17494,DUF5429
2633,PF17493,DUF5428
2634,PF17318,DUF5361
2635,PF17319,DUF5362
2636,PF17328,DUF5366
2637,PF17305,DUF5354
2638,PF17320,DUF5363
2639,PF17322,DUF5364
2640,PF17336,DUF5368
2641,PF17340,DUF5370
2642,PF17342,DUF5372
2643,PF17345,DUF5375
2644,PF17347,DUF5377
2645,PF17349,DUF5378
2646,PF17343,DUF5373
2647,PF17353,DUF5381
2648,PF17359,DUF5385
2649,PF17479,DUF3048
2650,PF17360,DUF5386
2651,PF17364,DUF5389
2652,PF17365,DUF5390
2653,PF17375,DUF5397
2654,PF17376,DUF5398
2655,PF17473,DUF5426
2656,PF17472,DUF5425
2657,PF17379,DUF5400
2658,PF17462,DUF5424
2659,PF17461,DUF5423
2660,PF17459,DUF5422
2661,PF17458,DUF5421
2662,PF17457,DUF5420
2663,PF17401,DUF5407
2664,PF17402,DUF5408
2665,PF17400,DUF5406
2666,PF17424,DUF5411
2667,PF17438,DUF5417
2668,PF17437,DUF5416
2669,PF17436,DUF5415
2670,PF17434,DUF5413
2671,PF17399,DUF5405
2672,PF17428,DUF5412
2673,PF17377,DUF5399
2674,PF17354,DUF5382
2675,PF17346,DUF5376
2676,PF17363,DUF5388
2677,PF17361,DUF5387
2678,PF17553,DUF5465
2679,PF17439,DUF5418
2680,PF13598,DUF4139
2681,PF17663,DUF5525
2682,PF12961,DUF3850
2683,PF17441,DUF5419
2684,PF17395,DUF5403
2685,PF17665,DUF5527
2686,PF17662,DUF5524
2687,PF17724,DUF5568
2688,PF18540,DUF5626
2689,PF17647,DUF5518
2690,PF17690,DUF5537
2691,PF17694,DUF5540
2692,PF18536,DUF5623
2693,PF18462,DUF5612
2694,PF18467,DUF5613
2695,PF18620,DUF5627
2696,PF18646,DUF5632
2697,PF17715,DUF5560
2698,PF17711,DUF5556
2699,PF18701,DUF5641
2700,PF18705,DUF5643
2701,PF17824,DUF5586
2702,PF18686,DUF5636
2703,PF18446,DUF5611
2704,PF18120,DUF5597
2705,PF17658,DUF5520
2706,PF18685,DUF5635
2707,PF17821,DUF5583
2708,PF18688,DUF5638
2709,PF18522,DUF5620
2710,PF17884,DUF5591
2711,PF17692,DUF5538
2712,PF17710,DUF5555
2713,PF17653,DUF5522
2714,PF18632,DUF5630
2715,PF18645,DUF5631
2716,PF17709,DUF5554
2717,PF17707,DUF5553
2718,PF17705,DUF5551
2719,PF18300,DUF5604
2720,PF17712,DUF5557
2721,PF17687,DUF5535
2722,PF18656,DUF5633
2723,PF17732,DUF5571
2724,PF18532,DUF5621
2725,PF18690,DUF5639
2726,PF18057,DUF5594
2727,PF17714,DUF5559
2728,PF18077,DUF5595
2729,PF18692,DUF5640
2730,PF18498,DUF5618
2731,PF18150,DUF5600
2732,PF18539,DUF5625
2733,PF17704,DUF5550
2734,PF17700,DUF5546
2735,PF17693,DUF5539
2736,PF18533,DUF5622
2737,PF18480,DUF5615
2738,PF17823,DUF5585
2739,PF17713,DUF5558
2740,PF18474,DUF5614
2741,PF18629,DUF5629
2742,PF17741,DUF5578
2743,PF18538,DUF5624
2744,PF18505,DUF5619
2745,PF18003,DUF3823
2746,PF18347,DUF5606
2747,PF18310,DUF5605
2748,PF17695,DUF5541
2749,PF17702,DUF5548
2750,PF18702,DUF5642
2751,PF17697,DUF5543
2752,PF17731,DUF5570
2753,PF18805,DUF4458
2754,PF17826,DUF5588
2755,PF17699,DUF5545
2756,PF18687,DUF5637
2757,PF17706,DUF5552
2758,PF17740,DUF5577
2759,PF18713,DUF5645
2760,PF17661,DUF5523
2761,PF17701,DUF5547
2762,PF18712,DUF5644
2763,PF17739,DUF5576
2764,PF18356,DUF5608
2765,PF18433,DUF5610
2766,PF18481,DUF5616
2767,PF18355,DUF5607
2768,PF05957,DUF883
2769,PF19029,DUF883
2770,PF19208,DUF5880
2771,PF19207,DUF5879
2772,PF19206,DUF5878
2773,PF19205,DUF5877
2774,PF19204,DUF5876
2775,PF19203,DUF5875
2776,PF19202,DUF5874
2777,PF19201,DUF5873
2778,PF18881,DUF5646
2779,PF18882,DUF5647
2780,PF18885,DUF5648
2781,PF18886,DUF5649
2782,PF18888,DUF5650
2783,PF18892,DUF5651
2784,PF18893,DUF5652
2785,PF18898,DUF5654
2786,PF18899,DUF5655
2787,PF18900,DUF5656
2788,PF18901,DUF5657
2789,PF18902,DUF5658
2790,PF18903,DUF5659
2791,PF18904,DUF5660
2792,PF18905,DUF5661
2793,PF18907,DUF5662
2794,PF18908,DUF5663
2795,PF18910,DUF5665
2796,PF18914,DUF5666
2797,PF18915,DUF5667
2798,PF18920,DUF5671
2799,PF18922,DUF5672
2800,PF18923,DUF5673
2801,PF18924,DUF5674
2802,PF18925,DUF5675
2803,PF18928,DUF5677
2804,PF18929,DUF5678
2805,PF18931,DUF5680
2806,PF18932,DUF5681
2807,PF18934,DUF5682
2808,PF18935,DUF5683
2809,PF18936,DUF5684
2810,PF18937,DUF5685
2811,PF18939,DUF5686
2812,PF18940,DUF5687
2813,PF18941,DUF5688
2814,PF18942,DUF5689
2815,PF18943,DUF5690
2816,PF18944,DUF5691
2817,PF18948,DUF5692
2818,PF18949,DUF5693
2819,PF18950,DUF5694
2820,PF18951,DUF5695
2821,PF18952,DUF5696
2822,PF18954,DUF5697
2823,PF18956,DUF5699
2824,PF18958,DUF5700
2825,PF18959,DUF5701
2826,PF18960,DUF5702
2827,PF18961,DUF5703
2828,PF18963,DUF5703
2829,PF18964,DUF5704
2830,PF18968,DUF5707
2831,PF18969,DUF5708
2832,PF18970,DUF5709
2833,PF18974,DUF5710
2834,PF18975,DUF5711
2835,PF18977,DUF5713
2836,PF18978,DUF5714
2837,PF18979,DUF5715
2838,PF18980,DUF5716
2839,PF18983,DUF5717
2840,PF18984,DUF5717
2841,PF18985,DUF5718
2842,PF18986,DUF5719
2843,PF18987,DUF5720
2844,PF18988,DUF5721
2845,PF18989,DUF5722
2846,PF18990,DUF5723
2847,PF18991,DUF5724
2848,PF18992,DUF5725
2849,PF18996,DUF5726
2850,PF18997,DUF5727
2851,PF18999,DUF5728
2852,PF19000,DUF5729
2853,PF19001,DUF5730
2854,PF19002,DUF5731
2855,PF19003,DUF5732
2856,PF19004,DUF5733
2857,PF19005,DUF5734
2858,PF19006,DUF5735
2859,PF19007,DUF5736
2860,PF19008,DUF5737
2861,PF19009,DUF5738
2862,PF19010,DUF5739
2863,PF19011,DUF5740
2864,PF19197,DUF5872
2865,PF19196,DUF5871
2866,PF19195,DUF5870
2867,PF19194,DUF5869
2868,PF19103,DUF5790
2869,PF19104,DUF5791
2870,PF19105,DUF5792
2871,PF19106,DUF5793
2872,PF19107,DUF5794
2873,PF19108,DUF5795
2874,PF19109,DUF5796
2875,PF19110,DUF5797
2876,PF19111,DUF5798
2877,PF19113,DUF5799
2878,PF19115,DUF5800
2879,PF19116,DUF5801
2880,PF19118,DUF5802
2881,PF19119,DUF5803
2882,PF19120,DUF5804
2883,PF19121,DUF5805
2884,PF19122,DUF5806
2885,PF19123,DUF5807
2886,PF19124,DUF5808
2887,PF19125,DUF5809
2888,PF19126,DUF5810
2889,PF19128,DUF5811
2890,PF19186,DUF5868
2891,PF19185,DUF5867
2892,PF19184,DUF5866
2893,PF19183,DUF5865
2894,PF19182,DUF5864
2895,PF19181,DUF5863
2896,PF19180,DUF5862
2897,PF19178,DUF5860
2898,PF19177,DUF5859
2899,PF19129,DUF5812
2900,PF19130,DUF5813
2901,PF19131,DUF5814
2902,PF19132,DUF5815
2903,PF19133,DUF5816
2904,PF19134,DUF5817
2905,PF19135,DUF5818
2906,PF19136,DUF5819
2907,PF19137,DUF5820
2908,PF19139,DUF5822
2909,PF19140,DUF5823
2910,PF19141,DUF5824
2911,PF19142,DUF5825
2912,PF19145,DUF5827
2913,PF19146,DUF5828
2914,PF19147,DUF5829
2915,PF19148,DUF5830
2916,PF19149,DUF5831
2917,PF19150,DUF5832
2918,PF19176,DUF5858
2919,PF19152,DUF5834
2920,PF19175,DUF5857
2921,PF19174,DUF5856
2922,PF19173,DUF5855
2923,PF19172,DUF5854
2924,PF19171,DUF5853
2925,PF19170,DUF5852
2926,PF19169,DUF5851
2927,PF19168,DUF5850
2928,PF19167,DUF5849
2929,PF19166,DUF5848
2930,PF19165,DUF5847
2931,PF19164,DUF5846
2932,PF19163,DUF5845
2933,PF19162,DUF5844
2934,PF19161,DUF5843
2935,PF19159,DUF5841
2936,PF19157,DUF5839
2937,PF19153,DUF5835
2938,PF19102,DUF5789
2939,PF19101,DUF5788
2940,PF19100,DUF5787
2941,PF19099,DUF5786
2942,PF19098,DUF5785
2943,PF19075,DUF5771
2944,PF19074,DUF5770
2945,PF19073,DUF5769
2946,PF19072,DUF5768
2947,PF19071,DUF5767
2948,PF19070,DUF5766
2949,PF19069,DUF5765
2950,PF19068,DUF5764
2951,PF19067,DUF5763
2952,PF19054,DUF5753
2953,PF19064,DUF5760
2954,PF19062,DUF5758
2955,PF19061,DUF5757
2956,PF19080,DUF5772
2957,PF19082,DUF5773
2958,PF19083,DUF5774
2959,PF19084,DUF5775
2960,PF19090,DUF5778
2961,PF19059,DUF5755
2962,PF19058,DUF5754
2963,PF19091,DUF5779
2964,PF19092,DUF5780
2965,PF19093,DUF5781
2966,PF19095,DUF5783
2967,PF19096,DUF5784
2968,PF19017,DUF5746
2969,PF19022,DUF5748
2970,PF19023,DUF5749
2971,PF19024,DUF5750
2972,PF19025,DUF5751
2973,PF19063,DUF5759
2974,PF19012,DUF5741
2975,PF19013,DUF5742
2976,PF18926,DUF5676
2977,PF18955,DUF5698
2978,PF19027,DUF5752
2979,PF19016,DUF5745
2980,PF19015,DUF5744
2981,PF19014,DUF5743
2982,PF18930,DUF5679
2983,PF19155,DUF5837
2984,PF19087,DUF5776
2985,PF19228,DUF5881
2986,PF20153,DUF6535
2987,PF20152,DUF6534
2988,PF20151,DUF6533
2989,PF20149,DUF6532
2990,PF19393,DUF5968
2991,PF20148,DUF6531
2992,PF20140,DUF6530
2993,PF19229,DUF5882
2994,PF19260,DUF5903
2995,PF19261,DUF5904
2996,PF19230,DUF5883
2997,PF19231,DUF5884
2998,PF19262,DUF5905
2999,PF19232,DUF5885
3000,PF19233,DUF5886
3001,PF19234,DUF5887
3002,PF19235,DUF5888
3003,PF19237,DUF5889
3004,PF20139,DUF6529
3005,PF20138,DUF6528
3006,PF20137,DUF6527
3007,PF20136,DUF6526
3008,PF20135,DUF6525
3009,PF20134,DUF6524
3010,PF20132,DUF6522
3011,PF20130,DUF6520
3012,PF20129,DUF6519
3013,PF20128,DUF6518
3014,PF20127,DUF6517
3015,PF20125,DUF6515
3016,PF20123,DUF6513
3017,PF20122,DUF6512
3018,PF19240,DUF5890
3019,PF19241,DUF5891
3020,PF19243,DUF5892
3021,PF19245,DUF5893
3022,PF19246,DUF5894
3023,PF19247,DUF5895
3024,PF19248,DUF5896
3025,PF19249,DUF5897
3026,PF19250,DUF5898
3027,PF19251,DUF5899
3028,PF19253,DUF5900
3029,PF19254,DUF5901
3030,PF19255,DUF5902
3031,PF20121,DUF6511
3032,PF20120,DUF6510
3033,PF20119,DUF6509
3034,PF20118,DUF6508
3035,PF20117,DUF6507
3036,PF20116,DUF6506
3037,PF20115,DUF6505
3038,PF20114,DUF6504
3039,PF20113,DUF6503
3040,PF20112,DUF6502
3041,PF20111,DUF6501
3042,PF20110,DUF6500
3043,PF19265,DUF5908
3044,PF20108,DUF6498
3045,PF20107,DUF6497
3046,PF20106,DUF6496
3047,PF20105,DUF6495
3048,PF20104,DUF6494
3049,PF20103,DUF6493
3050,PF20008,DUF6429
3051,PF20024,DUF6432
3052,PF20025,DUF6433
3053,PF20026,DUF6434
3054,PF20027,DUF6435
3055,PF20029,DUF6436
3056,PF20031,DUF64370
3057,PF20033,DUF6438
3058,PF20102,DUF6492
3059,PF20101,DUF6491
3060,PF20100,DUF6490
3061,PF20099,DUF6489
3062,PF20098,DUF6488
3063,PF20097,DUF6487
3064,PF20096,DUF6486
3065,PF20093,DUF6484
3066,PF20092,DUF6483
3067,PF20090,DUF6482
3068,PF20089,DUF6481
3069,PF20035,DUF6439
3070,PF20088,DUF6480
3071,PF20087,DUF6479
3072,PF20086,DUF6478
3073,PF20037,DUF6440
3074,PF20083,DUF6477
3075,PF20082,DUF6476
3076,PF20081,DUF6475
3077,PF20079,DUF6474
3078,PF20078,DUF6473
3079,PF20076,DUF6472
3080,PF20075,DUF6471
3081,PF20074,DUF6470
3082,PF20073,DUF6469
3083,PF20072,DUF6468
3084,PF20001,DUF6428
